,Market,Name,Last,Percent_Diff,High,Low,Volume,Turnover,Date,Time
267,BME Growth,ROBOT,2.6000,- ,- ,- ,- ,- ,01/10/2021,Close
268,BME Growth,SECUOYA,7.5500,- ,- ,- ,- ,- ,01/10/2021,Close
269,BME Growth,SERRANO 61,21.4000,- ,- ,- ,- ,- ,01/10/2021,Close
270,BME Growth,SILICIUS,16.2000,2.53,16.2000,16.0000,622,10.01,04/10/2021,16:00:15
271,BME Growth,STUDENT,1.5500,- ,- ,- ,- ,- ,01/10/2021,Close
272,BME Growth,TANDER,10.7000,- ,- ,- ,- ,- ,01/10/2021,Close
273,BME Growth,TARJAR XAIRO,70.5000,- ,- ,- ,- ,- ,01/10/2021,Close
274,BME Growth,TECHNOMECA,0.9300,- ,- ,- ,- ,- ,Suspended 30/10/2018,Suspended 30/10/2018
275,BME Growth,TEMPORE,5.0000,- ,- ,- ,- ,- ,01/10/2021,Close
276,BME Growth,TESTA RESID.,6.3500,- ,- ,- ,- ,- ,01/10/2021,Close
277,BME Growth,TIER1,23.4000,0.86,23.6000,23.4000,1002,23.51,04/10/2021,16:00:15
278,BME Growth,TORIMBIA,28.0000,- ,- ,- ,- ,- ,01/10/2021,Close
279,BME Growth,TRAJANO,6.9500,- ,- ,- ,- ,- ,01/10/2021,Close
280,BME Growth,TRIVIUM,47.6000,- ,- ,- ,- ,- ,01/10/2021,Close
281,BME Growth,URBAN VIEW,7.2000,- ,- ,- ,- ,- ,01/10/2021,Close
282,BME Growth,URO PROPERTY,35.6000,- ,- ,- ,- ,- ,01/10/2021,Close
283,BME Growth,VBARE,8.9000,- ,- ,- ,- ,- ,01/10/2021,Close
284,BME Growth,VERACRUZ,32.6000,- ,- ,- ,- ,- ,01/10/2021,Close
285,BME Growth,VITRUVIO,11.4000,- ,- ,- ,- ,- ,01/10/2021,Close
286,BME Growth,VIVENIO,1.3500,- ,- ,- ,- ,- ,01/10/2021,Close
287,BME Growth,ZAMBAL SPAIN,1.2000,- ,- ,- ,- ,- ,01/10/2021,Close
288,Madrid Floor,AYCO,0.9000,- ,- ,- ,- ,- ,01/10/2021,Close
289,Madrid Floor,LIWE ESP.,4.3000,- ,- ,- ,- ,- ,01/10/2021,Close
290,Madrid Floor,URBAR,0.0730,- ,- ,- ,- ,- ,Suspended 12/07/2019,Suspended 12/07/2019
291,Barcelona Floor,AYCO,0.9000,- ,- ,- ,- ,- ,01/10/2021,Close
292,Barcelona Floor,CTOS.MOLINS,18.0000,- ,- ,- ,- ,- ,01/10/2021,Close
293,Barcelona Floor,ECOLUMBER,1.0500,- ,- ,- ,- ,- ,01/10/2021,Close
294,Barcelona Floor,MOB.MONESA,2.1000,- ,- ,- ,- ,- ,01/10/2021,Close
295,Barcelona Floor,TR HOTEL,1.0200,- ,- ,- ,- ,- ,01/10/2021,Close
296,Barcelona Floor,UNCAVASA,4.8000,- ,- ,- ,- ,- ,01/10/2021,Close
297,Bilbao Floor,AYCO,0.9000,- ,- ,- ,- ,- ,01/10/2021,Close
298,Bilbao Floor,MIN Y DERIV,11.0000,- ,- ,- ,- ,- ,01/10/2021,Close
299,Valencia Floor,FINANZAS,29.8000,- ,- ,- ,- ,- ,01/10/2021,Close
