position,book,author,avg_rating,num_ratings,score,num_votes
82,The Color Purple,Alice Walker,4.24,570513,336036,3815
83,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.57,3188834,320921,3556
84,A Tree Grows in Brooklyn,Betty  Smith,4.28,412146,317239,3494
85,The Brothers Karamazov,Fyodor Dostoevsky,4.32,269233,314042,3470
86,A Clockwork Orange,Anthony Burgess,3.99,648461,311847,3514
87,The Road,Cormac McCarthy,3.97,776041,307826,3380
88,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,4.12,575355,295621,3301
89,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.11,599286,287653,3093
90,Siddhartha,Hermann Hesse,4.04,640813,284268,3173
91,The Poisonwood Bible,Barbara Kingsolver,4.07,686952,276329,3034
92,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.00,1376023,275351,3078
93,Don Quixote,Miguel de Cervantes Saavedra,3.88,230871,264306,3010
94,Atlas Shrugged,Ayn Rand,3.69,368877,253024,2780
95,The Old Man and the Sea,Ernest Hemingway,3.79,922639,247942,2866
96,"The Notebook (The Notebook, #1)",Nicholas Sparks,4.12,1434258,237699,2683
97,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,4.31,297127,233497,2743
98,The Complete Stories and Poems,Edgar Allan Poe,4.37,236313,231451,2677
99,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,4.00,518863,217163,2486
100,A Prayer for Owen Meany,John Irving,4.23,296644,211353,2326
